Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,trans_desc,TSVD_0,TSVD_1,TSVD_2,TSVD_3,TSVD_4,TSVD_5,TSVD_6,TSVD_7,TSVD_8,TSVD_9,desc_len
1,Angel,24,307,307,2,5,7,0,2,2,3,3,3,1,1,0,41324,6f73a23fdb52bc9a30dc788fe6ccc7f6,0,"found a stray female dog who follows my mum car..we had to leave her behind becos we are rushing off to somewhere.. whoever is interested in adopting, pls do contact me..i will try to get a pic again soon...mayb in d evening..d location is in malacca... very lovable & friendly..pls contact me if u r really interested...thank you... she was adopted, but might need a new adopter as her current place is not so suitable for her...pls help...thanks...",0113cedff,3.0,"found a stray female dog who follows my mum car..we had to leave her behind becos we are rushing off to somewhere.. whoever is interested in adopting, pls do contact me..i will try to get a pic again soon...mayb in d evening..d location is in malacca... very lovable & friendly..pls contact me if u r really interested...thank you... she was adopted, but might need a new adopter as her current place is not so suitable for her...pls help...thanks...",0.34684368715727115,-0.003283499179304847,-0.18716567624976765,0.1973726057892034,0.026107803418103055,0.26330891070389084,-0.07566690800890845,0.08454790561511623,-0.06029774930497797,-0.055626189401804804,78
1,Female Cute Homeless Dogs,12,307,307,2,2,3,0,2,2,2,2,2,1,2,0,41324,6f73a23fdb52bc9a30dc788fe6ccc7f6,0,"both female dogs r thrown away at d food court after new year...n brown colour was there longer than d lighter brown colour..in risk of getting caught & shot dead by mbmb as previous dogs hv been shot dead...n they r in d food court begging for food...so in desperate need of an adopter...if u can take either one or both,pls contact liew  kindly jus serious dog lover & adopter onli...spaying will be helped by rescuer...the smaller dog is at risk (more featured in d pic-lighter brown) as it was thrown away jus recently....both r very tame & well mannered..get along with other dogs too..(as the smaller one jus came &make fren with d elder one in jus one day) location: taman sin hoe garden, bukit baru, malacca",0070b950a,4.0,"both female dogs r thrown away at d food court after new year...n brown colour was there longer than d lighter brown colour..in risk of getting caught & shot dead by mbmb as previous dogs hv been shot dead...n they r in d food court begging for food...so in desperate need of an adopter...if u can take either one or both,pls contact liew  kindly jus serious dog lover & adopter onli...spaying will be helped by rescuer...the smaller dog is at risk (more featured in d pic-lighter brown) as it was thrown away jus recently....both r very tame & well mannered..get along with other dogs too..(as the smaller one jus came &make fren with d elder one in jus one day) location: taman sin hoe garden, bukit baru, malacca",0.2745687791878379,0.01746694469953582,-0.11953866895410534,-0.10869927117706138,0.03610673960436204,0.13766011518660198,0.055588488735317285,0.10181500287031507,-0.06426381276562326,-0.0712642202856315,129
1,Puppy,3,218,307,1,1,7,0,2,1,2,2,2,1,1,0,41324,6f73a23fdb52bc9a30dc788fe6ccc7f6,1,"Hi, im liew here.. Im not sure how is this done, but i do hv a puppy to b adopted into a loving family.. My location is in malacca.. As per attached, is d pic of d puppy... Its a male n its abt 3-5 months old.. Can eat solid food alreadi n its very cute n playful.. Its a mix breed of a terrier... If u can adopt n can create a loving enviroment for him, please contact me at..call or sms onli.. Thanks",cbe2df167,0.0,"Hi, im liew here.. Im not sure how is this done, but i do hv a puppy to b adopted into a loving family.. My location is in malacca.. As per attached, is d pic of d puppy... Its a male n its abt 3-5 months old.. Can eat solid food alreadi n its very cute n playful.. Its a mix breed of a terrier... If u can adopt n can create a loving enviroment for him, please contact me at..call or sms onli.. Thanks",0.3716925345277119,-0.030114408248149815,-0.050153679108879454,0.2002417252316954,0.19066351481452637,-0.029958545313227364,0.03169861640614971,-0.07033083613338689,-0.05925418993312991,0.03913593787949348,85
1,Ceasar,24,103,103,1,1,2,0,3,2,1,1,2,1,1,0,41324,6f73a23fdb52bc9a30dc788fe6ccc7f6,0,"Hi, im helping out a friend of mine who has a 2 year old german shepard to give away..she dearly love this dog but unfortunately, he is too strong & energetic for her as she is not that young... so she is looking for someone who really love dogs & know how to handle a german shepard as he love to run around n has lots of energy...right now she has to tie him so she feel pity for him to be tied...but she is only looking for a good home & owner...no hanky panky, half way owner... if u r interested, kindly message the direct owner at...potential owner will be screen 1st...its located in malacca only....he is one loveable boy...",37a0b72a4,8.0,"Hi, im helping out a friend of mine who has a 2 year old german shepard to give away..she dearly love this dog but unfortunately, he is too strong & energetic for her as she is not that young... so she is looking for someone who really love dogs & know how to handle a german shepard as he love to run around n has lots of energy...right now she has to tie him so she feel pity for him to be tied...but she is only looking for a good home & owner...no hanky panky, half way owner... if u r interested, kindly message the direct owner at...potential owner will be screen 1st...its located in malacca only....he is one loveable boy...",0.369729891486645,-0.11569421319872766,-0.1617583703298093,-0.15157500842648997,-0.16484199795504012,0.03429415015820738,-0.02799831443913199,0.06856329776180285,-0.02009480660312261,0.19440206171236038,121
1,Sogo & Toro,12,179,182,3,1,0,0,2,1,3,3,3,1,2,0,41324,6f73a23fdb52bc9a30dc788fe6ccc7f6,0,"Hi all, im helping out a fren's fren to give out her dog as she is moving to outstation...so she wont b able to take d dog with her... d dogs r a mix pug & poodle...so they r adorable...& they r finding for a loving home...pls do let me knw if u r interested in giving them a loving home.... location is in malacca ya...thanks so much!",669695dd6,1.0,"Hi all, im helping out a fren's fren to give out her dog as she is moving to outstation...so she wont b able to take d dog with her... d dogs r a mix pug & poodle...so they r adorable...& they r finding for a loving home...pls do let me knw if u r interested in giving them a loving home.... location is in malacca ya...thanks so much!",0.37370416537324835,-0.03480540854249189,-0.288633723976427,-0.05638630082172942,-0.06440472574574878,-0.00824121127626328,-0.03963025783545004,0.08113728240551302,0.11483084294313609,-0.1338491944559513,68
1,Coby,5,307,307,1,7,0,0,2,1,2,2,2,1,1,0,41324,6f73a23fdb52bc9a30dc788fe6ccc7f6,1,"Hi, i have a male cute puppy to give away... i have saved him from a wet market & he is one lovely boy...i currently have dogs, so i cant take him in... so any dog lovers staying in shah alam area, or klang, & is really seriously love dogs & wanting him, kindly call me at (belinda) i really do home he can get a loving home soon!he is adorable!",be85036be,10.0,"Hi, i have a male cute puppy to give away... i have saved him from a wet market & he is one lovely boy...i currently have dogs, so i cant take him in... so any dog lovers staying in shah alam area, or klang, & is really seriously love dogs & wanting him, kindly call me at (belinda) i really do home he can get a loving home soon!he is adorable!",0.37521975391504564,-0.07506828007960177,-0.1888242514470926,0.009918860158102378,0.015298193537074315,-0.0423995390903399,0.019501994071678422,-0.02588586681057205,0.13856700048058979,0.08753078325388357,71
1,Edison ****,17,173,0,1,2,7,0,3,1,3,3,3,1,1,0,41324,cd5cb3f83ab1387406a177c5bbf1477a,0,"Malacca Anyone lost their dog around Stadium Hang Jebat? Big Bull, Male, around 1 years old plus almost 2. Temporary name him as Edison, he is innocent, humble and friendly to human, but quite fierce to others animal. If he belongs to you, please bring him home as soon as possible! Please contact: Rara 馬六甲區 有沒有人在Stadium Hang Jebat附近不見狗狗？ Big Bull,雄性，大約1至2歲，暫名為""Edison""，性格天真，對人溫馴，但對狗貓就愛撩事鬥非。 拔拔嘛嘛看到的話，快認領孩子回家，別讓他怕，感恩。 可聯絡",c2bbbdde2,2.0,"Malacca Anyone lost their dog around Stadium Hang Jebat? Big Bull, Male, around 1 years old plus almost 2. Temporary name him as Edison, he is innocent, humble and friendly to human, but quite fierce to others animal. If he belongs to you, please bring him home as soon as possible! Please contact: Rara 馬六甲區 有沒有人在Stadium Hang Jebat附近不見狗狗？ Big Bull,雄性，大約1至2歲，暫名為""Edison""，性格天真，對人溫馴，但對狗貓就愛撩事鬥非。 拔拔嘛嘛看到的話，快認領孩子回家，別讓他怕，感恩。 可聯絡",0.25497587010400585,-0.0042549035222624,-0.12323915645646609,-0.08360154128588958,0.028233251505965187,0.057961632009793713,-0.05659965380165711,-0.02563567164416505,-0.11911820156163767,-0.06643878924879044,62
1,Bolt & Candy,6,307,0,3,5,7,0,2,1,1,1,1,1,2,0,41324,cd5cb3f83ab1387406a177c5bbf1477a,0,"Hi, I'm Bolt the super dog (like Disney movie) and this is my younger sister Candy. We born homeless, but there is a angel call Grace bring us home, take care of us, neutered us on Sep. We growing up in a healthy environment, full of love; but unfortunately I was too active, I love running and jumping around, and Grace's housemate doesn't like it. Now Candy and me need to be rehome. Candy my sister is a soft gentle girl, she is quiet and elegant, I'm active and playful, I need to be with her and protect her. Hopefully you can adopt both of us together. If you interested to adopt us , please call Grace",6a968e033,4.0,"Hi, I'm Bolt the super dog (like Disney movie) and this is my younger sister Candy. We born homeless, but there is a angel call Grace bring us home, take care of us, neutered us on Sep. We growing up in a healthy environment, full of love; but unfortunately I was too active, I love running and jumping around, and Grace's housemate doesn't like it. Now Candy and me need to be rehome. Candy my sister is a soft gentle girl, she is quiet and elegant, I'm active and playful, I need to be with her and protect her. Hopefully you can adopt both of us together. If you interested to adopt us , please call Grace",0.4004984955492995,-0.10882903106222415,-0.029167685293052383,-0.05825090637748422,0.14602601188946424,0.08613649335407317,-0.05636772014499916,0.06915580564899357,0.030990289676332623,0.19951393046925098,117
1,Benjamin ****,2,307,0,1,1,2,7,2,2,2,2,2,1,1,0,41324,cd5cb3f83ab1387406a177c5bbf1477a,0,"2 months ago we found 2 dogs with newborn puppies abandoned close to our usual stray feeding spot. At the time we found them, the puppies were poor little things, only a few days old and have not even opened their eyes. We made sure they received the care they needed and now they are eagerly looking for you to take them home so that they will have a safe home and your love forever. If you are interested to adopt them, please contact: RaRa PC 上两个月，发现了两只母狗被抛弃在我们喂养区附近，当时的这些小狗还未开眼睛，还是需要妈妈照顾的小宝贝，经过了重重磨练，恶劣环境的考验，现在他们准备好了，等待你们带他们回家，给他们一个不离不弃的家，永远爱护它保护它～　 有兴趣领养者请联络： 莊晴　 PC Ong　 六个月后，可以带回来，我们帮他们结扎～　",3107d0aa7,4.0,"2 months ago we found 2 dogs with newborn puppies abandoned close to our usual stray feeding spot. At the time we found them, the puppies were poor little things, only a few days old and have not even opened their eyes. We made sure they received the care they needed and now they are eagerly looking for you to take them home so that they will have a safe home and your love forever. If you are interested to adopt them, please contact: RaRa PC 上两个月，发现了两只母狗被抛弃在我们喂养区附近，当时的这些小狗还未开眼睛，还是需要妈妈照顾的小宝贝，经过了重重磨练，恶劣环境的考验，现在他们准备好了，等待你们带他们回家，给他们一个不离不弃的家，永远爱护它保护它～　 有兴趣领养者请联络： 莊晴　 PC Ong　 六个月后，可以带回来，我们帮他们结扎～　",0.436996144899955,-0.09001017114604058,-0.15220317948206752,0.1752455080461261,-0.06802763533996896,-0.012177364525936797,0.290523241173936,-0.006665599526683207,-0.09106331567842822,0.1255761689305278,92
1,Hugo ****,5,173,0,1,1,7,0,3,1,3,3,3,1,1,0,41324,cd5cb3f83ab1387406a177c5bbf1477a,0,"Malacca Pit Bull puppy looking for home! Male, 5 months old, temporary name him as Hugo. Hugo is very friendly, calm and listening, he can stay together with other dogs and cat happily, a humble puppy. He has healthy and shiny coat. Please give him a forever home! If you interested to adopt him, please call : Rara 已被领养！ Pit Bull公開領養，雄性 五個月左右，暫名為""Hugo"" 性格：乖巧冷靜溫馴，毛髮光澤，皮膚很美，還是個小bb ，可以和狗貓相處,請支持領養代替購買的精神，感恩。 可聯絡",9e11f1974,2.0,"Malacca Pit Bull puppy looking for home! Male, 5 months old, temporary name him as Hugo. Hugo is very friendly, calm and listening, he can stay together with other dogs and cat happily, a humble puppy. He has healthy and shiny coat. Please give him a forever home! If you interested to adopt him, please call : Rara 已被领养！ Pit Bull公開領養，雄性 五個月左右，暫名為""Hugo"" 性格：乖巧冷靜溫馴，毛髮光澤，皮膚很美，還是個小bb ，可以和狗貓相處,請支持領養代替購買的精神，感恩。 可聯絡",0.4879022983944789,-0.10743048520064832,-0.12692503008021963,0.301266612811991,0.036436001604974705,-0.03286850426464579,-0.07214858879235006,-0.2997596888545384,-0.15387553110351418,-0.28284451608283234,65
1,Sun Bear ****,2,307,0,2,1,0,0,2,2,2,2,2,1,1,0,41324,cd5cb3f83ab1387406a177c5bbf1477a,0,"2 months ago we found 2 dogs with newborn puppies abandoned close to our usual stray feeding spot. At the time we found them, the puppies were poor little things, only a few days old and have not even opened their eyes. We made sure they received the care they needed and now they are eagerly looking for you to take them home so that they will have a safe home and your love forever. If you are interested to adopt them, please contact: RaRa PC 上两个月，发现了两只母狗被抛弃在我们喂养区附近，当时的这些小狗还未开眼睛，还是需要妈妈照顾的小宝贝，经过了重重磨练，恶劣环境的考验，现在他们准备好了，等待你们带他们回家，给他们一个不离不弃的家，永远爱护它保护它～　 有兴趣领养者请联络： 莊晴　 PC Ong　 六个月后，可以带回来，我们帮他们结扎～　",14bc519cd,4.0,"2 months ago we found 2 dogs with newborn puppies abandoned close to our usual stray feeding spot. At the time we found them, the puppies were poor little things, only a few days old and have not even opened their eyes. We made sure they received the care they needed and now they are eagerly looking for you to take them home so that they will have a safe home and your love forever. If you are interested to adopt them, please contact: RaRa PC 上两个月，发现了两只母狗被抛弃在我们喂养区附近，当时的这些小狗还未开眼睛，还是需要妈妈照顾的小宝贝，经过了重重磨练，恶劣环境的考验，现在他们准备好了，等待你们带他们回家，给他们一个不离不弃的家，永远爱护它保护它～　 有兴趣领养者请联络： 莊晴　 PC Ong　 六个月后，可以带回来，我们帮他们结扎～　",0.436996144899955,-0.09001017114604058,-0.15220317948206752,0.1752455080461261,-0.06802763533996896,-0.012177364525936797,0.290523241173936,-0.006665599526683207,-0.09106331567842822,0.1255761689305278,92
