x01,prediction
60401301_a08a01,26
60402321_a08a01,43
60410601_a08a01,25
60410602_a08a01,41
60411801_a08a01,83
60411802_a08a01,47
60412201_a08a01,29
60412602_a08a01,43
60414602_a08a01,56
60414802_a08a01,41
61100501_a08a01,48
61104501_a08a01,56
61200801_a08a01,1
61300201_a08a01,1
61300701_a08a01,1
61301011_a08a01,56
61302511_a08a01,83
61400601_a08a01,56
61401231_a08a01,64
61401232_a08a01,45
61401322_a08a01,23
61401611_a08a01,22
61402412_a08a01,41
61402512_a08a01,996
61402921_a08a01,62
61402931_a08a01,47
61403622_a08a01,47
62302502_a08a01,1
62404601_a08a01,1
62600502_a08a01,56
65121701_a08a01,25
65122101_a08a01,56
65125402_a08a01,27
65131602_a08a01,56
65134201_a08a01,47
65135002_a08a01,43
65135402_a08a01,25
70100202_a08a01,43
70100421_a08a01,31
70100621_a08a01,21
70100721_a08a01,26
70101211_a08a01,25
70101212_a08a01,46
70102321_a08a01,22
70102721_a08a01,21
70111302_a08a01,16
70112301_a08a01,26
70112302_a08a01,49
70112602_a08a01,83
70121202_a08a01,47
70125301_a08a01,56
70125302_a08a01,49
70125701_a08a01,29
70125802_a08a01,83
70130501_a08a01,43
70202021_a08a01,45
70203102_a08a01,56
70203501_a08a01,25
70203532_a08a01,1
70203811_a08a01,65
70204001_a08a01,25
70205411_a08a01,78
70205422_a08a01,87
70210901_a08a01,47
70210902_a08a01,45
70212501_a08a01,43
70213301_a08a01,27
70300812_a08a01,25
70300912_a08a01,30
70300922_a08a01,29
70301631_a08a01,56
70303001_a08a01,81
70303511_a08a01,85
70310102_a08a01,25
70310501_a08a01,85
70310502_a08a01,85
70312402_a08a01,1
70313401_a08a01,22
70314602_a08a01,85
70315402_a08a01,33
70315502_a08a01,56
70401211_a08a01,28
70401301_a08a01,47
70401302_a08a01,47
70402331_a08a01,65
70402512_a08a01,27
70410421_a08a01,26
70410602_a08a01,29
70412002_a08a01,43
70415301_a08a01,49
70921501_a08a01,27
70923501_a08a01,56
70930402_a08a01,46
70930801_a08a01,998
70931002_a08a01,16
70931601_a08a01,26
70932501_a08a01,43
70932701_a08a01,26
70933701_a08a01,33
70934601_a08a01,96
71022402_a08a01,30
71023102_a08a01,83
71023701_a08a01,85
71023901_a08a01,43
71031501_a08a01,83
71032102_a08a01,31
71032601_a08a01,85
71101021_a08a01,83
71102212_a08a01,56
71102401_a08a01,1
71103201_a08a01,1
71202312_a08a01,62
71204101_a08a01,56
71302011_a08a01,83
71302212_a08a01,85
71404711_a08a01,86
72102611_a08a01,41
72102612_a08a01,43
72120802_a08a01,26
72122601_a08a01,80
72130801_a08a01,95
72131202_a08a01,1
72201802_a08a01,1
72402002_a08a01,3
72500301_a08a01,81
72500311_a08a01,26
73722601_a08a01,62
73722602_a08a01,86
73722801_a08a01,43
73730801_a08a01,47
73730902_a08a01,85
73732601_a08a01,85
80102211_a08a01,45
80105101_a08a01,47
80111801_a08a01,48
80201801_a08a01,34
80202501_a08a01,56
80203531_a08a01,68
80214301_a08a01,56
80300101_a08a01,85
80301601_a08a01,81
80404601_a08a01,85
80410401_a08a01,83
80414302_a08a01,83
80500421_a08a01,86
80500511_a08a01,64
80500521_a08a01,83
80500801_a08a01,29
80501602_a08a01,69
80501612_a08a01,64
80501631_a08a01,85
80502301_a08a01,25
80502302_a08a01,85
80503601_a08a01,48
80512601_a08a01,94
80513101_a08a01,65
80513102_a08a01,65
80513702_a08a01,30
80515821_a08a01,27
80620802_a08a01,85
80621402_a08a01,19
80622601_a08a01,26
80623602_a08a01,35
80631701_a08a01,25
80633401_a08a01,47
80722002_a08a01,86
80732701_a08a01,26
80732702_a08a01,18
80734001_a08a01,998
80734502_a08a01,49
81102502_a08a01,56
81103011_a08a01,83
81103031_a08a01,49
81105902_a08a01,47
81202802_a08a01,64
81203711_a08a01,86
81204112_a08a01,22
81204212_a08a01,83
81300322_a08a01,27
81301341_a08a01,47
81305702_a08a01,25
81306611_a08a01,65
81402601_a08a01,65
81403421_a08a01,47
81403502_a08a01,47
81500321_a08a01,30
81501211_a08a01,69
81501222_a08a01,56
81502802_a08a01,16
81503412_a08a01,25
82022101_a08a01,64
82023101_a08a01,65
82023502_a08a01,69
82030501_a08a01,998
82032301_a08a01,20
82202501_a08a01,47
82420401_a08a01,26
82422202_a08a01,25
82422301_a08a01,998
82422401_a08a01,30
82422502_a08a01,34
82422701_a08a01,29
82423602_a08a01,85
82433701_a08a01,85
82434201_a08a01,998
82500302_a08a01,998
83020101_a08a01,46
83021202_a08a01,96
83021901_a08a01,80
83023201_a08a01,47
90102021_a08a01,45
90103001_a08a01,96
90202001_a08a01,85
90203001_a08a01,45
90300102_a08a01,26
90300722_a08a01,25
90301101_a08a01,26
90303622_a08a01,26
90312501_a08a01,27
90402102_a08a01,21
90410201_a08a01,26
90510801_a08a01,47
90604412_a08a01,58
90612901_a08a01,85
90613801_a08a01,85
90721402_a08a01,68
90721502_a08a01,26
90722301_a08a01,56
90722401_a08a01,83
90723001_a08a01,95
90724301_a08a01,47
90724501_a08a01,38
90732201_a08a01,30
90735001_a08a01,41
90735301_a08a01,31
91101701_a08a01,69
91102322_a08a01,86
91102811_a08a01,25
91105301_a08a01,56
91107702_a08a01,22
91123801_a08a01,83
91124401_a08a01,41
91125401_a08a01,86
91131501_a08a01,47
91132001_a08a01,29
91133201_a08a01,34
91133402_a08a01,8
91133802_a08a01,85
91134601_a08a01,43
91134701_a08a01,26
91134902_a08a01,56
91135001_a08a01,26
91135301_a08a01,85
91201911_a08a01,47
91202011_a08a01,80
91202512_a08a01,34
91203002_a08a01,48
91300311_a08a01,74
91302012_a08a01,85
91400112_a08a01,65
91400121_a08a01,56
91400911_a08a01,85
91400921_a08a01,73
91401701_a08a01,56
91401721_a08a01,26
91402111_a08a01,86
91402121_a08a01,62
91402131_a08a01,47
91501521_a08a01,27
91501522_a08a01,27
91601921_a08a01,56
91603821_a08a01,68
91605822_a08a01,86
92203411_a08a01,69
92304901_a08a01,43
92504811_a08a01,64
97321501_a08a01,27
97324902_a08a01,47
97330401_a08a01,47
97330501_a08a01,85
97330801_a08a01,83
97331402_a08a01,56
97333301_a08a01,49
97334301_a08a01,55
97334602_a08a01,47
97334901_a08a01,1
97335301_a08a01,56
97335601_a08a01,85
97335901_a08a01,64
97336202_a08a01,85
97336301_a08a01,26
97336302_a08a01,85
100201_a08a02,5220
100222_a08a02,4321
101201_a08a02,5120
102102_a08a02,3122
102811_a08a02,5220
103611_a08a02,2152
103621_a08a02,2220
202011_a08a02,2512
202212_a08a02,3312
210701_a08a02,2320
213701_a08a02,3322
213702_a08a02,3341
214201_a08a02,4910
215701_a08a02,2320
300502_a08a02,3122
300521_a08a02,2320
310701_a08a02,1322
315101_a08a02,5220
315102_a08a02,1322
411602_a08a02,3321
412701_a08a02,2144
1102601_a08a02,5212
1104612_a08a02,4110
1202211_a08a02,4110
1203122_a08a02,2220
1203522_a08a02,2512
2202501_a08a02,6010
10101811_a08a02,7231
10111301_a08a02,4311
10111302_a08a02,3341
10112201_a08a02,2522
10112202_a08a02,2152
10112311_a08a02,5220
10200202_a08a02,7223
10201121_a08a02,3322
10205721_a08a02,4110
10212502_a08a02,3118
10301312_a08a02,9320
10301321_a08a02,3322
10303002_a08a02,3122
10312901_a08a02,3341
10320101_a08a02,1221
10320501_a08a02,3322
10321901_a08a02,3322
10322701_a08a02,5296
10322802_a08a02,1219
10325402_a08a02,5120
10330201_a08a02,3341
10330202_a08a02,7231
10332001_a08a02,3341
10334901_a08a02,3323
10400301_a08a02,2412
10400311_a08a02,3322
10400802_a08a02,5220
10400821_a08a02,4110
10412601_a08a02,5220
10415102_a08a02,4321
10421101_a08a02,5139
10424001_a08a02,7233
10424002_a08a02,4311
10426302_a08a02,5140
10430201_a08a02,8322
10434701_a08a02,2512
10500221_a08a02,8322
10501411_a08a02,2152
10502311_a08a02,7993
10503301_a08a02,8201
10504201_a08a02,5310
10504212_a08a02,2220
10504912_a08a02,4311
10600511_a08a02,3117
10610902_a08a02,3122
10611601_a08a02,4311
10611602_a08a02,3122
10612901_a08a02,4311
10700911_a08a02,5220
10712802_a08a02,7223
10714901_a08a02,3322
11100711_a08a02,3322
11102301_a08a02,9112
11120501_a08a02,2512
11123701_a08a02,7222
11130701_a08a02,2152
11201401_a08a02,3123
11201611_a08a02,3118
11201722_a08a02,3123
11222801_a08a02,5211
11230702_a08a02,2152
11232402_a08a02,3323
11300402_a08a02,5120
11300721_a08a02,8322
11300732_a08a02,9201
11401201_a08a02,9112
11401711_a08a02,3322
11402601_a08a02,7212
11404302_a08a02,8202
11500112_a08a02,4110
11501111_a08a02,3341
11502111_a08a02,2152
11620701_a08a02,5120
11621502_a08a02,3321
11623301_a08a02,4110
11623701_a08a02,7993
11624001_a08a02,7231
11630101_a08a02,3322
11634701_a08a02,2310
11635301_a08a02,1120
11704632_a08a02,3322
12101401_a08a02,6010
12202601_a08a02,6010
20020301_a08a02,5220
20021802_a08a02,5220
20022901_a08a02,5220
20030601_a08a02,2331
20033201_a08a02,4110
20104001_a08a02,4110
20110301_a08a02,4910
20112911_a08a02,6010
20113201_a08a02,3114
20113801_a08a02,5220
20115001_a08a02,6010
20115002_a08a02,6010
21101601_a08a02,6010
21102222_a08a02,1322
21102702_a08a02,6010
21104011_a08a02,3220
21104031_a08a02,8332
22024101_a08a02,2512
22025901_a08a02,2320
22025902_a08a02,2320
22030101_a08a02,2144
22030301_a08a02,5220
22031101_a08a02,7233
22032602_a08a02,2331
22034102_a08a02,3220
22102611_a08a02,3341
22102711_a08a02,8332
22721601_a08a02,5220
22721801_a08a02,9320
22721802_a08a02,5211
22732302_a08a02,7233
22733202_a08a02,2320
23423502_a08a02,3123
23433701_a08a02,2152
23435001_a08a02,2395
23524701_a08a02,4110
23533801_a08a02,5294
23535301_a08a02,5402
23820801_a08a02,3112
23821701_a08a02,3322
23822701_a08a02,5220
23825501_a08a02,4311
23832301_a08a02,7119
23835601_a08a02,5220
24223301_a08a02,7233
24224201_a08a02,2399
24224202_a08a02,2395
24226602_a08a02,3322
24231201_a08a02,3323
24231402_a08a02,3322
24231502_a08a02,1322
24232902_a08a02,2173
24234601_a08a02,4910
24234602_a08a02,2421
30022302_a08a02,4229
30024101_a08a02,2152
30024102_a08a02,4110
30024701_a08a02,5140
30103902_a08a02,2320
30110802_a08a02,4311
30111801_a08a02,2320
30112302_a08a02,3322
30112701_a08a02,3122
30113801_a08a02,9998
30113901_a08a02,2331
30120401_a08a02,5212
30124402_a08a02,4110
30124701_a08a02,9501
30126201_a08a02,2320
30131201_a08a02,7993
30131502_a08a02,2152
30134101_a08a02,4110
30135301_a08a02,7993
30200101_a08a02,7131
30201701_a08a02,5220
30201721_a08a02,3322
30201811_a08a02,3322
30201821_a08a02,3322
30203111_a08a02,7233
30203122_a08a02,9501
30210902_a08a02,5220
30211301_a08a02,3322
30214001_a08a02,2512
30230201_a08a02,3114
30232301_a08a02,5220
30234401_a08a02,2152
30300411_a08a02,3122
30303101_a08a02,5220
30311202_a08a02,3323
30314801_a08a02,5220
30401501_a08a02,3411
30402212_a08a02,3123
30402611_a08a02,3322
30402622_a08a02,2412
30412501_a08a02,4321
30414302_a08a02,4120
30414501_a08a02,2399
30414502_a08a02,1223
30500301_a08a02,7131
30500321_a08a02,5220
30500602_a08a02,5220
30502301_a08a02,1120
30502401_a08a02,1322
30503301_a08a02,9112
30513801_a08a02,4311
30600302_a08a02,5320
30600322_a08a02,4110
30600601_a08a02,4110
30601222_a08a02,5220
30601912_a08a02,2172
30603501_a08a02,9901
30612501_a08a02,2152
30701821_a08a02,7411
30712402_a08a02,2172
30713102_a08a02,2395
31101402_a08a02,5220
31104421_a08a02,3123
31104601_a08a02,7222
31105011_a08a02,7131
31200801_a08a02,7993
31200811_a08a02,2152
31200911_a08a02,2340
31203731_a08a02,4110
31301111_a08a02,8199
31302121_a08a02,5140
31405912_a08a02,3322
31500121_a08a02,4311
31601401_a08a02,5220
31601431_a08a02,1221
32021601_a08a02,4110
32021802_a08a02,5220
32022602_a08a02,2152
32022801_a08a02,4110
32022802_a08a02,2152
32022902_a08a02,3341
32030301_a08a02,4311
32031202_a08a02,3112
32032301_a08a02,3322
32032602_a08a02,5211
32032701_a08a02,7233
32500212_a08a02,5404
32620402_a08a02,8202
32621401_a08a02,2210
32621402_a08a02,2210
32621801_a08a02,7233
32623402_a08a02,9996
32630102_a08a02,2152
32631001_a08a02,3114
32631802_a08a02,4311
32633201_a08a02,4321
32633401_a08a02,4910
32633501_a08a02,5220
32634102_a08a02,4110
33721301_a08a02,7993
33721401_a08a02,4110
33721502_a08a02,2331
33722601_a08a02,5139
33723201_a08a02,9901
33723601_a08a02,2152
33724001_a08a02,4110
33731101_a08a02,3323
33731102_a08a02,2412
33732001_a08a02,3322
33732002_a08a02,4311
33733102_a08a02,4110
33733702_a08a02,5220
33734201_a08a02,5320
40100132_a08a02,5120
40101302_a08a02,8322
40102301_a08a02,4110
40104811_a08a02,2331
40105902_a08a02,5404
40111802_a08a02,3322
40112102_a08a02,4321
40112301_a08a02,8322
40203121_a08a02,5220
40210102_a08a02,8322
40300201_a08a02,5220
40300502_a08a02,6010
40300521_a08a02,3123
40300522_a08a02,9996
40301502_a08a02,5220
40302011_a08a02,5220
40302501_a08a02,7113
40302502_a08a02,9201
40303111_a08a02,2152
40310901_a08a02,4110
40401002_a08a02,4311
40401811_a08a02,7233
40401912_a08a02,5220
40401921_a08a02,3341
40402602_a08a02,7993
40404012_a08a02,1120
40405501_a08a02,3122
40413702_a08a02,5120
40415101_a08a02,7122
40820301_a08a02,2512
40821302_a08a02,7912
40823002_a08a02,5120
40824401_a08a02,2153
40824402_a08a02,5212
40831101_a08a02,4211
40831102_a08a02,4321
41100611_a08a02,5211
41100931_a08a02,5220
41101122_a08a02,4311
41101931_a08a02,4311
41103001_a08a02,5220
41103022_a08a02,2152
41103121_a08a02,5220
41103211_a08a02,9312
41104012_a08a02,5220
41200221_a08a02,114
41201711_a08a02,4321
41201732_a08a02,8332
41302011_a08a02,5211
41400212_a08a02,9996
41400221_a08a02,4311
41400222_a08a02,1221
41400421_a08a02,1221
41401012_a08a02,3122
41420901_a08a02,7233
41421001_a08a02,2399
41421101_a08a02,8202
41421901_a08a02,4110
41422802_a08a02,5220
41423201_a08a02,3122
41424202_a08a02,4311
41430202_a08a02,7223
41433501_a08a02,4311
42022502_a08a02,5294
42030202_a08a02,5320
42030301_a08a02,8142
42030701_a08a02,7993
42032902_a08a02,5140
42034001_a08a02,2320
42034402_a08a02,2320
42034701_a08a02,3123
42401101_a08a02,6010
42403002_a08a02,9901
42720201_a08a02,4110
42723402_a08a02,3334
42730301_a08a02,4211
43722802_a08a02,4110
43723101_a08a02,2220
43730402_a08a02,7223
43731001_a08a02,8332
43732101_a08a02,8142
43732602_a08a02,7993
43732801_a08a02,2331
43733401_a08a02,7912
50100911_a08a02,5140
50100922_a08a02,7114
50100931_a08a02,5140
50101111_a08a02,3322
50102201_a08a02,2310
50102421_a08a02,3322
50102712_a08a02,5220
50102731_a08a02,4311
50102811_a08a02,114
50110401_a08a02,3341
50112201_a08a02,2395
50112901_a08a02,5220
50115001_a08a02,2332
50200112_a08a02,5220
50201512_a08a02,7123
50202012_a08a02,4321
50202211_a08a02,5402
50202601_a08a02,3123
50203902_a08a02,9112
50204112_a08a02,9320
50204322_a08a02,4321
50205812_a08a02,3123
50205911_a08a02,3123
50211702_a08a02,7114
50212402_a08a02,5120
50216001_a08a02,5211
51100231_a08a02,4110
51100701_a08a02,5220
51102501_a08a02,7233
51104102_a08a02,9901
51203012_a08a02,2320
51205901_a08a02,9501
51205902_a08a02,9112
51320202_a08a02,4311
51330501_a08a02,7223
51333001_a08a02,7231
51333902_a08a02,2220
51420701_a08a02,8142
51420802_a08a02,4110
51421602_a08a02,5220
51422502_a08a02,2152
51423302_a08a02,4311
51423502_a08a02,5296
51430101_a08a02,7131
51430901_a08a02,5140
51433201_a08a02,5220
51433701_a08a02,7411
55722901_a08a02,4322
55723902_a08a02,7113
55725402_a08a02,5220
55730301_a08a02,7212
55731402_a08a02,7233
55733101_a08a02,2220
55734101_a08a02,3123
60100201_a08a02,9112
60101721_a08a02,4110
60101731_a08a02,2220
60101741_a08a02,4311
60103011_a08a02,4110
60103231_a08a02,5140
60104002_a08a02,9320
60104611_a08a02,5140
60111301_a08a02,8322
60112001_a08a02,6010
60112201_a08a02,3122
60114902_a08a02,8332
60115401_a08a02,8202
60200511_a08a02,3114
60200522_a08a02,8142
60200531_a08a02,113
60201421_a08a02,9901
60201822_a08a02,8202
60202411_a08a02,5220
60203112_a08a02,4110
60203131_a08a02,5220
60213301_a08a02,9201
60214901_a08a02,4322
60215602_a08a02,3123
60300122_a08a02,5220
60300132_a08a02,2152
60300401_a08a02,6010
60301211_a08a02,2220
60301221_a08a02,7233
60301602_a08a02,6010
60302211_a08a02,7122
60304321_a08a02,8332
60313101_a08a02,5296
60400122_a08a02,9909
60400341_a08a02,8202
60400402_a08a02,7113
60401301_a08a02,4321
60402321_a08a02,7113
60410601_a08a02,8199
60410602_a08a02,7123
60411801_a08a02,5402
60411802_a08a02,5211
60412201_a08a02,8201
60412602_a08a02,4311
60414602_a08a02,5139
60414802_a08a02,9312
61100501_a08a02,8332
61104501_a08a02,5120
61200801_a08a02,6010
61300201_a08a02,6010
61300701_a08a02,6010
61301011_a08a02,5120
61302511_a08a02,112
61400601_a08a02,5139
61401231_a08a02,2522
61401232_a08a02,2412
61401322_a08a02,3114
61401611_a08a02,7993
61402412_a08a02,4110
61402512_a08a02,4311
61402921_a08a02,1223
61402931_a08a02,5220
61403622_a08a02,5220
62302502_a08a02,6010
62404601_a08a02,6010
62600502_a08a02,7912
65121701_a08a02,3122
65122101_a08a02,5211
65125402_a08a02,7223
65131602_a08a02,5296
65134201_a08a02,8322
65135002_a08a02,7411
65135402_a08a02,3122
